,tag,form,0
600,ORG,"['?', '', '?', '', 'sg n', '', '?', '', 'sg n', 'sg n', 'sg n']",2
601,ORG,"['?', '', '?', '', 'sg n', '', 'sg n', 'sg n', 'sg n', '', '?']",1
602,ORG,"['?', '', '?', '', 'sg n', '', 'sg n', 'sg n', 'sg n', 'sg n', 'sg n', 'sg n']",1
603,ORG,"['?', '', '?', '', 'sg n', 'sg n', 'sg n', '', '?']",2
604,ORG,"['?', '', '?', '', 'sg n', 'sg n', 'sg n', '', 'sg n', 'sg n', '', '?']",1
605,ORG,"['?', '', '?', '', 'sg n', 'sg n', 'sg n']",12
606,ORG,"['?', '', '?', '', 'sg n', 'sg n']",6
607,ORG,"['?', '', '?', '', 'sg n']",14
608,ORG,"['?', '', '?', '']",6
22,LOC,"['?', '', '?', '?']",1
609,ORG,"['?', '', '?', '?']",2
610,ORG,"['?', '', '?', 'pl p']",1
611,ORG,"['?', '', '?', 'sg abl']",2
612,ORG,"['?', '', '?', 'sg g', '?', '']",1
613,ORG,"['?', '', '?', 'sg g']",4
614,ORG,"['?', '', '?', 'sg n', '', 'sg g']",1
615,ORG,"['?', '', '?', 'sg n', '?', 'sg n']",1
616,ORG,"['?', '', '?', 'sg n', 'sg n']",1
617,ORG,"['?', '', '?', 'sg n']",15
618,ORG,"['?', '', '?']",319
2853,PER,"['?', '', '?']",3
23,LOC,"['?', '', '?']",3
619,ORG,"['?', '', 'adt']",1
620,ORG,"['?', '', 'pl g', 'pl g', 'pl g', 'sg g', '?']",1
621,ORG,"['?', '', 'pl g']",2
622,ORG,"['?', '', 'pl n', 'sg n']",1
623,ORG,"['?', '', 'pl n', 'sg tr']",1
624,ORG,"['?', '', 'pl p', 'sg n']",1
625,ORG,"['?', '', 'pl p']",3
626,ORG,"['?', '', 'sg ad']",3
2854,PER,"['?', '', 'sg all']",1
627,ORG,"['?', '', 'sg all']",3
24,LOC,"['?', '', 'sg all']",1
25,LOC,"['?', '', 'sg el']",3
628,ORG,"['?', '', 'sg el']",1
2855,PER,"['?', '', 'sg el']",1
