,lemma,tag,0
593,Amelia,ORG,1
594,Amelia,PER,7
595,America,LOC,1
596,America,ORG,3
597,American,LOC,2
598,American,PER,2
599,American Heritage,ORG,1
600,American Heritage,PER,3
601,American Tours,ORG,1
602,American Tours,PER,1
603,Amigo,LOC,2
604,Amigo,ORG,4
605,Amigo,PER,4
606,Amista,ORG,2
607,Amista,PER,3
608,Amman,LOC,8
609,Amman,PER,4
610,Amoco,LOC,2
611,Amoco,ORG,1
612,Amoco,PER,3
613,Amon,LOC,2
614,Amon,PER,2
615,Amserv,LOC,1
616,Amserv,ORG,2
617,Amserv,PER,2
618,Amserv Grup,ORG,2
619,Amserv Grup,PER,4
620,Amsterdam,LOC,160
621,Amsterdam,ORG,5
622,Amsterdam,PER,29
623,Amsterdam Ajax,ORG,1
624,Amsterdam Ajax,PER,1
625,Amsterdam Beurs van Berlage,ORG,2
626,Amsterdam Beurs van Berlage,PER,1
627,Amsterdam Concertgebouw,LOC,1
628,Amsterdam Concertgebouw,PER,1
629,Amsterdam Muziektheater,LOC,1
630,Amsterdam Muziektheater,ORG,4
631,Amsterdam Muziektheatr,ORG,1
632,Amsterdam Muziektheatr,PER,1
633,Amsterdam Rijksmuseum,ORG,4
634,Amsterdam Rijksmuseum,PER,1
635,Amsterdam Stedelijk,LOC,1
636,Amsterdam Stedelijk,PER,3
637,Amstrig,ORG,3
638,Amstrig,PER,4
639,Anaconda,LOC,1
640,Anaconda,ORG,1
641,Anaconda,PER,1
642,Anaheim,LOC,19
643,Anaheim,ORG,9
644,Analogue tv,ORG,2
645,Analogue tv,PER,2
646,Analüütik,ORG,1
647,Analüütik,PER,3
648,Anand,ORG,2
649,Anand,PER,15
650,Ananova,LOC,1
651,Ananova,PER,8
652,Anantnag,LOC,1
653,Anantnag,PER,1
654,Anatoli Shmigun,ORG,4
655,Anatoli Shmigun,PER,22
656,Anatoli Sobtšak,ORG,1
657,Anatoli Sobtšak,PER,2
658,Anatoli Solonitsõn,ORG,1
659,Anatoli Solonitsõn,PER,2
660,Anatoli Vashtshenko,ORG,1
661,Anatoli Vashtshenko,PER,3
662,Anderlecht,ORG,1
663,Anderlecht,PER,2
664,Anderstorp,ORG,2
665,Anderstorp,PER,1
666,Andi,LOC,1
667,Andi,ORG,4
668,Andi,PER,1
669,Andi Meister,ORG,4
670,Andi Meister,PER,15
671,Ando Keskküla,ORG,2
672,Ando Keskküla,PER,73
673,Ando keskküla,ORG,5
674,Ando keskküla,PER,1
675,Andrei,ORG,1
676,Andrei,PER,111
677,Angel,ORG,1
678,Angel,PER,15
679,Angelo,LOC,1
680,Angelo,PER,10
681,Angerja,ORG,1
682,Angerja,PER,1
683,Angkor,LOC,3
684,Angkor,ORG,1
685,Angkor,PER,1
686,Angkor Wat,ORG,1
687,Angkor Wat,PER,6
688,Angoola,LOC,17
689,Angoola,ORG,1
690,Angoola,PER,2
691,Angott,LOC,1
692,Angott,PER,15
693,Ani,LOC,16
